24 kHz
values: angle (north = 0) a01, a12, a20, e0, e1, e2

0	0	1	1	0.58	1.32	1.12
30	0	1	1	1.15	0.74	1.10
60	0	0	1	1.66	0.33	1.01
90	1	0	1	1.72	0.70	0.58
120	1	0	0	1.56	1.20	0.24
150	1	1	0	0.92	1.27	0.81
180	0	1	1	0.61	1.17	1.22
210	0	1	1	1.01	0.64	1.36
240	0	0	1	1.45	0.31	1.24
270	1	0	1	1.44	0.84	0.71
300	1	0	0	1.35	1.36	0.29
330	1	1	0	0.76	1.55	0.70


18.1 kHz Motochkin shar
0	0	1	1	0.69	1.21	1.10
30	0	1	1	1.21	0.68	1.22
60	0	0	1	1.64	0.39	0.97
90	1	0	1	1.68	0.80	0.52
120	1	1	0	1.44	1.21	0.34

